Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 0.63	0.61938	0.30938
2 		 0.32812	0.31938	4.2562
3 		 0.21063	0.20438	5.9594
4 		 0.31562	0.32063	5.7875
5 		 0.36313	0.36313	6.1531
6 		 0.30062	0.30375	6.4469
7 		 0.32812	0.33937	5.8219
8 		 0.365	0.37125	7.4469
9 		 0.35125	0.35687	7.8625
10 		 0.30688	0.31125	7.7875
11 		 0.34875	0.3375	7.2469
12 		 0.32062	0.32688	8.7031
13 		 0.415	0.295	8.5375
14 		 0.62625	0.465	7.8594
15 		 0.90937	1.0106	8.1
16 		 0.69188	0.13625	8.4938
17 		 0.74625	0.4925	9.5594
18 		 0.8025	0.40625	8.4313
19 		 0.87688	0.40687	8.1906
20 		 1.1131	0.39813	8.1594
21 		 1.1225	0.42437	8.1375
22 		 1.2412	0.3575	9.5188
23 		 1.2769	0.41312	9.3875
24 		 1.345	0.39125	9.7531
25 		 1.3912	0.40312	9.0281
26 		 1.3662	0.31375	8.7469
27 		 1.6362	0.7075	10.2656
28 		 1.7006	0.56812	8.9469
29 		 2.0175	0.94875	9.9625
30 		 2.1169	0.73125	9.8188
31 		 2.1763	1.14	9.15
32 		 2.3525	1.4144	9.2312
33 		 2.5606	1.9688	10.7812
34 		 2.5881	2.4519	10.6344
35 		 2.8075	3.3712	10.9125
36 		 2.9175	4.2012	9.9969
37 		 3.0594	5.0075	11.7156
38 		 3.1456	4.7469	10.1719
39 		 3.19	5.9556	10.4469
40 		 3.2275	6.2088	10.4469
41 		 3.3481	7.1269	12.5312
42 		 3.355	8.2544	12.2312
43 		 3.38	8.06	13.1
44 		 3.3325	8.3187	12.6625
45 		 3.3225	8.8056	11.5406
46 		 3.3487	8.8944	12.9969
47 		 3.2912	8.8831	12.9563
48 		 3.4269	8.1625	13.8875
49 		 3.2244	8.2819	14.1312
50 		 3.2244	8.5838	15.7812
51 		 3.84	8.3113	16.675
52 		 4.595	7.4375	16.2812
53 		 5.4881	6.7313	17.9719
54 		 6.4937	5.8588	20.2625
55 		 8.1906	4.3531	20.5906
56 		 10.3063	2.8144	22.5875
57 		 10.6506	1.0969	25.4563
58 		 12.7937	0.85313	27.6063
59 		 13.6444	0.455	29.3313
60 		 13.8519	0.63375	30.3406
61 		 13.8231	1.5637	31.8188
M-Reflex_Max 		13.8519 		 30.3406
H-Reflex_Max 			8.8944	 12.9969
