Interval=	0.00025 s
ExcelDateTime=	4.4705550345423639e+004	2022-05-24 13:12:29.844603
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
-0.0025	0.0459375	7.684157
-0.00225	0.046875	7.684157
-0.002	0.053125	7.684157
-0.00175	0.0540625	7.684157
-0.0015	0.055	7.684157
-0.00125	0.0603125	7.684157
-0.001	0.06375	7.684157
-0.00075	0.06875	7.684157
-0.0005	0.070625	7.684157
-0.00025	0.075625	7.684157
0	0.0815625	7.684157
0.00025	0.083125	7.692085
0.0005	0.595625	7.699928
0.00075	0.1153125	7.696503
0.001	-0.1475	7.692794
0.00125	0.0734375	7.688527
0.0015	0.11625	7.684227
0.00175	0.0990625	7.679643
0.002	0.0915625	7.674893
0.00225	0.0859375	7.670026
0.0025	0.08125	7.665083
0.00275	0.0790625	7.660078
0.003	0.0796875	7.655019
0.00325	0.0790625	7.649895
0.0035	0.0753125	7.644702
0.00375	0.0753125	7.639464
0.004	0.0775	7.634177
0.00425	0.075	7.628831
0.0045	0.074375	7.62344
0.00475	0.0740625	7.618007
0.005	0.07125	7.612543
0.00525	0.0725	7.607059
0.0055	0.0725	7.601552
0.00575	0.0746875	7.596025
0.006	0.074375	7.590473
0.00625	0.0728125	7.584895
0.0065	0.07375	7.579317
0.00675	0.07125	7.573724
0.007	0.0709375	7.568133
0.00725	0.0721875	7.562549
0.0075	0.065625	7.556959
0.00775	0.0690625	7.551382
0.008	0.0659375	7.545798
0.00825	0.063125	7.54023
0.0085	0.0640625	7.534682
0.00875	0.0628125	7.529143
0.009	0.064375	7.523623
0.00925	0.0615625	7.518111
0.0095	0.0609375	7.512619
0.00975	0.06125	7.50715
0.01	0.05875	7.501693
0.01025	0.06	7.49626
0.0105	0.0609375	7.490843
0.01075	0.056875	7.485434
0.011	0.0590625	7.480046
0.01125	0.0590625	7.474659
0.0115	0.0584375	7.469277
0.01175	0.0584375	7.4639
0.012	0.0590625	7.458517
0.01225	0.0571875	7.453129
0.0125	0.056875	7.447745
0.01275	0.058125	7.442361
0.013	0.0596875	7.436978
0.01325	0.058125	7.431591
0.0135	0.0584375	7.426207
0.01375	0.0609375	7.420836
0.014	0.058125	7.415472
0.01425	0.0571875	7.410136
0.0145	0.06	7.404828
0.01475	0.058125	7.399547
0.015	0.0571875	7.394302
0.01525	0.0584375	7.389091
0.0155	0.06	7.383923
0.01575	0.06	7.378787
0.016	0.05875	7.37368
0.01625	0.06375	7.36861
0.0165	0.060625	7.363546
0.01675	0.06125	7.358504
0.017	0.0646875	7.353477
0.01725	0.064375	7.348448
0.0175	0.065	7.343423
0.01775	0.065	7.338389
0.018	0.065	7.333366
0.01825	0.0640625	7.328366
0.0185	0.065	7.323381
0.01875	0.065	7.318407
0.019	0.064375	7.313445
0.01925	0.0621875	7.308496
0.0195	0.0625	7.303565
0.01975	0.063125	7.298656
0.02	0.0653125	7.293769
0.02025	0.0684375	7.2889
0.0205	0.06875	7.284034
0.02075	0.069375	7.279178
0.021	0.069375	7.274315
0.02125	0.0715625	7.26945
0.0215	0.073125	7.26457
0.02175	0.07375	7.25964
0.022	0.0740625	7.254665
0.02225	0.0746875	7.249645
0.0225	0.0715625	7.244577
0.02275	0.0690625	7.239483
0.023	0.061875	7.234378
0.02325	0.0609375	7.229306
0.0235	0.0634375	7.224266
0.02375	0.065	7.219242
0.024	0.066875	7.214231
0.02425	0.065625	7.209213
0.0245	0.0646875	7.204197
0.02475	0.0628125	7.19918
0.025	0.0609375	7.194161
0.02525	0.0634375	7.189143
0.0255	0.06375	7.18411
0.02575	0.0634375	7.179057
0.026	0.0634375	7.173989
0.02625	0.0609375	7.168897
0.0265	0.0625	7.163785
0.02675	0.0615625	7.158645
0.027	0.05875	7.153474
0.02725	0.0621875	7.148281
0.0275	0.0609375	7.143047
0.02775	0.0621875	7.137772
0.028	0.061875	7.132454
0.02825	0.056875	7.127089
0.0285	0.05625	7.121702
0.02875	0.0515625	7.11629
0.029	0.0484375	7.110875
0.02925	0.0496875	7.105471
0.0295	0.0465625	7.100072
0.02975	0.0484375	7.094702
0.03	0.0515625	7.089351
0.03025	0.050625	7.084018
0.0305	0.0553125	7.07871
0.03075	0.0553125	7.073417
0.031	0.06125	7.068146
0.03125	0.061875	7.062886
0.0315	0.06	7.057633
0.03175	0.061875	7.052403
0.032	0.0625	7.047186
0.03225	0.0634375	7.04199
0.0325	0.0634375	7.036805
0.03275	0.0609375	7.031621
0.033	0.059375	7.026461
0.03325	0.0621875	7.021341
0.0335	0.0603125	7.016253
0.03375	0.059375	7.01121
0.034	0.06	7.006202
0.03425	0.0625	7.001225
0.0345	0.0625	6.996259
0.03475	0.06	6.991293
0.035	0.0628125	6.986344
0.03525	0.0625	6.981393
0.0355	0.064375	6.976449
0.03575	0.066875	6.971513
0.036	0.0690625	6.966568
0.03625	0.0715625	6.961599
0.0365	0.0740625	6.956594
0.03675	0.07375	6.95154
0.037	0.075625	6.946447
0.03725	0.0765625	6.941295
0.0375	0.0796875	6.936082
0.03775	0.0778125	6.930787
0.038	0.073125	6.925414
0.03825	0.0759375	6.919994
0.0385	0.075625	6.914504
0.03875	0.071875	6.908957
0.039	0.074375	6.903376
0.03925	0.073125	6.897739
0.0395	0.0725	6.892062
0.03975	0.0715625	6.886339
0.04	0.0696875	6.880574
0.04025	0.07125	6.874786
0.0405	0.0684375	6.868959
0.04075	0.06875	6.863109
0.041	0.0653125	6.857231
0.04125	0.06375	6.851334
0.0415	0.064375	6.845428
0.04175	0.06625	6.839509
0.042	0.0628125	6.833568
0.04225	0.0628125	6.827623
0.0425	0.0621875	6.821673
0.04275	0.0621875	6.815723
0.043	0.0615625	6.809779
0.04325	0.0628125	6.803851
0.0435	0.061875	6.797939
0.04375	0.06	6.792041
0.044	0.0615625	6.786174
0.04425	0.059375	6.780338
0.0445	0.0584375	6.77453
0.04475	0.059375	6.768755
0.045	0.0571875	6.762999
0.04525	0.05375	6.757253
0.0455	0.055625	6.751514
0.04575	0.0540625	6.74576
0.046	0.055625	6.739993
0.04625	0.05375	6.734205
0.0465	0.0525	6.728406
0.04675	0.0559375	6.722602
0.047	0.055	6.716778
0.04725	0.0571875	6.710941
0.0475	0.0596875	6.70509
0.04775	0.058125	6.699207
0.048	0.0625	6.693308
0.04825	0.0640625	6.687374
0.0485	0.0653125	6.681409
0.04875	0.0671875	6.675408
0.049	0.0690625	6.669359
0.04925	0.0715625	6.663264
0.0495	0.070625	6.657121
0.04975	0.07	6.65094
0.05	0.073125	6.644735
0.05025	0.07	6.638498
0.0505	0.0734375	6.632275
0.05075	0.0721875	6.626062
0.051	0.07125	6.626362
0.05125	0.0725	6.626806
0.0515	0.0715625	6.627543
0.05175	0.07125	6.62826
0.052	0.0703125	6.629104
0.05225	0.0703125	6.62999
0.0525	0.07	6.63089
0.05275	0.07	6.631775
0.053	0.07	6.632637
0.05325	0.0703125	6.633475
0.0535	0.0703125	6.634287
0.05375	0.070625	6.635092
0.054	0.0725	6.635893
0.05425	0.0721875	6.636694
0.0545	0.0728125	6.637524
0.05475	0.07375	6.638389
0.055	0.075625	6.639288
0.05525	0.0759375	6.640222
0.0555	0.075625	6.641184
0.05575	0.0778125	6.642184
0.056	0.078125	6.643196
0.05625	0.075625	6.644224
0.0565	0.07625	6.645275
0.05675	0.0740625	6.646328
0.057	0.07375	6.647396
0.05725	0.07375	6.648476
0.0575	0.07125	6.649549
0.05775	0.0690625	6.650641
0.058	0.0684375	6.651747
0.05825	0.0690625	6.652874
0.0585	0.066875	6.654011
0.05875	0.0646875	6.655157
0.059	0.0671875	6.656329
0.05925	0.066875	6.657505
0.0595	0.066875	6.658692
0.05975	0.0671875	6.659888
0.06	0.06625	6.661084
0.06025	0.0675	6.662287
0.0605	0.065625	6.663487
0.06075	0.0646875	6.664682
0.061	0.065	6.665888
0.06125	0.0625	6.667092
0.0615	0.065	6.668314
0.06175	0.0653125	6.669536
0.062	0.06125	6.67075
0.06225	0.0615625	6.671978
0.0625	0.0621875	6.673214
0.06275	0.0596875	6.674454
0.063	0.0590625	6.675713
0.06325	0.05875	6.676984
0.0635	0.059375	6.678275
0.06375	0.06125	6.67958
0.064	0.0628125	6.680897
0.06425	0.064375	6.682217
0.0645	0.06375	6.683524
0.06475	0.065	6.684809
0.065	0.066875	6.686069
0.06525	0.06625	6.687284
0.0655	0.0696875	6.688458
0.06575	0.0690625	6.689579
0.066	0.0684375	6.690659
0.06625	0.0684375	6.691712
0.0665	0.0671875	6.692744
0.06675	0.0678125	6.693792
0.067	0.066875	6.694854
0.06725	0.066875	6.695942
0.0675	0.069375	6.697059
0.06775	0.0671875	6.698187
0.068	0.07	6.699342
0.06825	0.0728125	6.70051
0.0685	0.069375	6.701656
0.06875	0.0696875	6.702798
0.069	0.070625	6.703931
0.06925	0.070625	6.705048
0.0695	0.0703125	6.706156
0.06975	0.0703125	6.70725
0.07	0.0721875	6.708327
0.07025	0.0721875	6.709386
0.0705	0.070625	6.710431
0.07075	0.0715625	6.711485
0.071	0.07125	6.712533
0.07125	0.0725	6.713588
0.0715	0.0746875	6.714646
0.07175	0.069375	6.715696
0.072	0.0725	6.716769
0.07225	0.074375	6.717859
0.0725	0.0734375	6.718954
0.07275	0.0728125	6.720067
0.073	0.07125	6.7212
0.07325	0.0734375	6.72236
0.0735	0.0725	6.723515
0.07375	0.0696875	6.724663
0.074	0.073125	6.725815
0.07425	0.07125	6.726936
0.0745	0.0709375	6.728039
0.07475	0.07125	6.729118
0.075	0.068125	6.730167
0.07525	0.068125	6.7312
0.0755	0.06625	6.732213
0.07575	0.0640625	6.733224
0.076	0.0659375	6.734252
0.07625	0.06375	6.735282
0.0765	0.0625	6.736334
0.07675	0.0625	6.737401
0.077	0.058125	6.738491
0.07725	0.0575	6.739616
0.0775	0.055	6.740766
0.07775	0.0525	6.741971
0.078	0.0509375	6.743241
0.07825	0.0490625	6.744572
0.0785	0.05	6.745976
0.07875	0.04875	6.747439
0.079	0.0496875	6.748967
0.07925	0.051875	6.750548
0.0795	0.0509375	6.752174
0.07975	0.053125	6.753848
0.08	0.0553125	6.755557
0.08025	0.055	6.757292
0.0805	0.0584375	6.759065
0.08075	0.060625	6.760854
0.081	0.065	6.762669
0.08125	0.0678125	6.764488
0.0815	0.06625	6.766297
0.08175	0.069375	6.768099
0.082	0.0703125	6.769863
0.08225	0.071875	6.771576
0.0825	0.0709375	6.773227
0.08275	0.068125	6.774814
0.083	0.0709375	6.776359
0.08325	0.075	6.777848
0.0835	0.0753125	6.779254
0.08375	0.078125	6.780598
0.084	0.0734375	6.781859
0.08425	0.0709375	6.783075
0.0845	0.0678125	6.784278
0.08475	0.0653125	6.785488
0.085	0.066875	6.786724
0.08525	0.0653125	6.787977
0.0855	0.066875	6.789251
0.08575	0.071875	6.790548
0.086	0.0703125	6.791842
0.08625	0.06875	6.793151
0.0865	0.0690625	6.794481
0.08675	0.0675	6.795837
0.087	0.0690625	6.797229
0.08725	0.0684375	6.798637
0.0875	0.07	6.800065
0.08775	0.069375	6.801503
0.088	0.0684375	6.802961
