Interval=	0.00025 s
ExcelDateTime=	4.4750462619190352e+004	2022-07-08 11:06:10.298047
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
-0.003	0.0628125	93.77091
-0.00275	0.059375	93.77091
-0.0025	0.0575	93.77091
-0.00225	0.064375	93.77091
-0.002	0.0521875	93.77091
-0.00175	0.0221875	93.77091
-0.0015	-0.0109375	93.77091
-0.00125	-0.060625	93.77091
-0.001	-0.10375	93.77091
-0.00075	-0.1309375	93.77091
-0.0005	-0.1078125	93.77091
-0.00025	-0.0334375	93.77091
0	0.0715625	93.77091
0.00025	0.2284375	94.08534
0.0005	0.406875	94.39865
0.00075	-2.504062	94.71048
0.001	NaN	95.00498
0.00125	5.151875	95.02588
0.0015	0.161875	94.97767
0.00175	-0.5459375	94.92942
0.002	-0.4209375	94.88042
0.00225	-0.549375	94.83101
0.0025	-0.5578125	94.78085
0.00275	-0.3884375	94.72991
0.003	-0.2078125	94.67855
0.00325	-0.279375	94.62706
0.0035	-0.2865625	94.57539
0.00375	-0.185625	94.52362
0.004	-0.32875	94.47188
0.00425	-0.54125	94.42002
0.0045	-0.45875	94.36746
0.00475	-0.2678125	94.31437
0.005	-0.2746875	94.26109
0.00525	-0.32625	94.20758
0.0055	-0.073125	94.15377
0.00575	0.0315625	94.09993
0.006	-0.1409375	94.04608
0.00625	-0.175625	93.99216
0.0065	-0.2346875	93.93813
0.00675	-0.2896875	93.88397
0.007	-0.3396875	93.82956
0.00725	-0.35875	93.77484
0.0075	-0.220625	93.71978
0.00775	-0.190625	93.66458
0.008	-0.2159375	93.60928
0.00825	-0.1459375	93.55384
0.0085	-0.1803125	93.49833
0.00875	-0.246875	93.44273
0.009	-0.234375	93.38697
0.00925	-0.2009375	93.33106
0.0095	-0.18125	93.27503
0.00975	-0.1375	93.21891
0.01	-0.0971875	93.16274
0.01025	-0.1075	93.10653
0.0105	-0.1125	93.05028
0.01075	-0.0978125	92.99399
0.011	-0.060625	92.93766
0.01125	0.0003125	92.88131
0.0115	0.030625	92.82494
0.01175	-0.0009375	92.76856
0.012	-0.0721875	92.71217
0.01225	-0.2034375	92.65573
0.0125	-0.31375	92.59917
0.01275	-0.365625	92.54233
0.013	-0.374375	92.48511
0.01325	-0.3378125	92.42748
0.0135	-0.2940625	92.36952
0.01375	-0.2803125	92.31131
0.014	-0.2559375	92.25285
0.01425	-0.1715625	92.1942
0.0145	-0.0575	92.13544
0.01475	0.0309375	92.07665
0.015	0.0596875	92.01782
0.01525	0.085	91.95896
0.0155	0.128125	91.90004
0.01575	0.173125	91.84103
0.016	0.1834375	91.78193
0.01625	0.17125	91.72268
0.0165	0.1603125	91.66334
0.01675	0.1428125	91.6039
0.017	0.1203125	91.54436
0.01725	0.0984375	91.48475
0.0175	0.0878125	91.4251
0.01775	0.081875	91.36538
0.018	0.0928125	91.30563
0.01825	0.1115625	91.24583
0.0185	0.129375	91.18597
0.01875	0.1559375	91.12603
0.019	0.1703125	91.06599
0.01925	0.1525	91.00585
0.0195	0.11125	90.9456
0.01975	0.0609375	90.8853
0.02	0.02375	90.82495
0.02025	0.039375	90.76457
0.0205	0.0734375	90.70414
0.02075	0.116875	90.64367
0.021	0.129375	90.58312
0.02125	0.0959375	90.52251
0.0215	0.0246875	90.46183
0.02175	-0.0509375	90.40111
0.022	-0.124375	90.34035
0.02225	-0.196875	90.27953
0.0225	-0.2596875	90.21855
0.02275	-0.295	90.15736
0.023	-0.2709375	90.0959
0.02325	-0.244375	90.03419
0.0235	-0.2171875	89.97229
0.02375	-0.1471875	89.91024
0.024	-0.03625	89.84815
0.02425	0.0796875	89.78609
0.0245	0.080625	89.72409
0.02475	-0.068125	89.66212
0.025	-0.2709375	89.60015
0.02525	-0.51	89.53794
0.0255	-0.7996875	89.47502
0.02575	-1.1625	89.41039
0.026	-1.54625	89.34211
0.02625	-1.98375	89.26729
0.0265	-2.375625	89.18165
0.02675	-2.58125	89.08036
0.027	-2.570313	88.9605
0.02725	-2.370313	88.82211
0.0275	-1.97	88.66786
0.02775	-1.603125	88.50252
0.028	-1.4975	88.32968
0.02825	-1.648125	88.15025
0.0285	-1.91875	87.96282
0.02875	-2.036875	87.76462
0.029	-1.8525	87.55428
0.02925	-1.465	87.33371
0.0295	-0.904375	87.10651
0.02975	-0.260625	86.87641
0.03	0.3934375	86.64551
0.03025	1.007188	86.41357
0.0305	1.375625	86.17811
0.03075	1.424063	85.93659
0.031	1.233438	85.68853
0.03125	0.903125	85.43537
0.0315	0.59125	85.1791
0.03175	0.3703125	84.92105
0.032	0.2434375	84.66184
0.03225	0.2053125	84.40169
0.0325	0.223125	84.1406
0.03275	0.2853125	83.87857
0.033	0.3871875	83.61547
0.03325	0.359375	83.3511
0.0335	0.204375	83.08552
0.03375	0.0521875	82.81894
0.034	-0.10625	82.55151
0.03425	-0.2628125	82.28316
0.0345	-0.28375	82.01374
0.03475	-0.1228125	81.74319
0.035	0.1690625	81.47177
0.03525	0.4946875	81.19942
0.0355	0.71	80.92542
0.03575	0.75625	80.64897
0.036	0.744375	80.36981
0.03625	0.700625	80.08797
0.0365	0.7140625	79.80361
0.03675	0.7846875	79.51665
0.037	0.8525	79.22674
0.03725	0.9353125	78.93349
0.0375	1.062188	78.6364
0.03775	1.210625	78.33463
0.038	1.340938	78.02707
0.03825	1.440625	77.71258
0.0385	1.489688	77.39019
0.03875	1.470625	77.05933
0.039	1.345938	76.72008
0.03925	1.164375	76.37347
0.0395	0.9978125	76.02087
0.03975	0.87	75.66339
0.04	0.803125	75.30175
0.04025	0.759375	74.93625
0.0405	0.725	74.56708
0.04075	0.6884375	74.19433
0.041	0.6809375	73.81814
0.04125	0.71625	73.43848
0.0415	0.75875	73.05515
0.04175	0.7828125	72.66786
0.042	0.7865625	72.27643
0.04225	0.7690625	71.88077
0.0425	0.7140625	71.4809
0.04275	0.6359375	71.07701
0.043	0.574375	70.66944
0.04325	0.535	70.25836
0.0435	0.513125	69.84386
0.04375	0.4828125	69.426
0.044	0.43875	69.00481
0.04425	0.3959375	68.58038
0.0445	0.373125	68.15276
0.04475	0.355625	67.72197
0.045	0.348125	67.28799
0.04525	0.3409375	66.85076
0.0455	0.3396875	66.41025
0.04575	0.3428125	65.96639
0.046	0.34375	65.51911
0.04625	0.3496875	65.06835
0.0465	0.358125	64.61399
0.04675	0.3575	64.15594
0.047	0.3509375	63.69414
0.04725	0.338125	63.2285
0.0475	0.320625	62.75897
0.04775	0.2896875	62.28551
0.048	0.25625	61.80811
0.04825	0.2415625	61.32673
0.0485	0.2296875	60.84132
0.04875	0.2096875	60.35179
0.049	0.196875	59.85809
0.04925	0.189375	59.36013
0.0495	0.175625	58.85782
0.04975	0.1540625	58.3511
0.05	0.1359375	57.83986
0.05025	0.1246875	57.32399
0.0505	0.1175	56.80338
0.05075	0.1090625	56.27801
0.051	0.09625	55.748
0.05125	0.086875	55.22691
0.0515	0.085	54.93754
0.05175	0.08125	54.70668
0.052	0.0796875	54.47487
0.05225	0.0696875	54.24272
0.0525	0.0546875	54.00996
0.05275	0.049375	53.77687
0.053	0.0478125	53.54347
0.05325	0.0453125	53.3094
0.0535	0.0509375	53.07438
0.05375	0.0484375	52.83848
0.054	0.0453125	52.60172
0.05425	0.0471875	52.36395
0.0545	0.0484375	52.12535
0.05475	0.0575	51.88634
0.055	0.0646875	51.64672
0.05525	0.06625	51.40614
0.0555	0.075	51.16459
0.05575	0.085	50.92213
0.056	0.0940625	50.67851
0.05625	0.103125	50.43367
0.0565	0.1065625	50.18765
0.05675	0.10375	49.94046
0.057	0.1034375	49.69212
0.05725	0.11125	49.44271
0.0575	0.1140625	49.1923
0.05775	0.110625	48.94087
0.058	0.115625	48.68824
0.05825	0.1115625	48.43434
0.0585	0.1134375	48.17918
0.05875	0.1190625	47.92268
0.059	0.12375	47.66485
0.05925	0.1284375	47.40572
0.0595	0.139375	47.14527
0.05975	0.1346875	46.88341
0.06	0.129375	46.6201
0.06025	0.1234375	46.3553
0.0605	0.12125	46.08896
0.06075	0.1228125	45.82106
0.061	0.12	45.55158
0.06125	0.118125	45.28048
0.0615	0.1109375	45.00772
0.06175	0.1078125	44.73326
0.062	0.106875	44.45708
0.06225	0.0965625	44.17913
0.0625	0.090625	43.89941
0.06275	0.0903125	43.618
0.063	0.0840625	43.33502
0.06325	0.08	43.05054
0.0635	0.07125	42.76457
0.06375	0.06625	42.47699
0.064	0.0603125	42.1877
0.06425	0.0484375	41.89663
0.0645	0.0484375	41.60373
0.06475	0.0371875	41.30883
0.065	0.02625	41.01182
0.06525	0.0240625	40.71265
0.0655	0.019375	40.41129
0.06575	0.01	40.10768
0.066	0.0059375	39.80181
0.06625	-0.0028125	39.49367
0.0665	-0.00875	39.18322
0.06675	-0.0134375	38.87038
0.067	-0.013125	38.55509
0.06725	-0.00875	38.23726
0.0675	-0.0159375	37.91682
0.06775	-0.0259375	37.59368
0.068	-0.0309375	37.26776
0.06825	-0.0353125	36.93898
0.0685	-0.0334375	36.60727
0.06875	-0.031875	36.27256
0.069	-0.0278125	35.93478
0.06925	-0.02625	35.59388
0.0695	-0.0284375	35.24978
0.06975	-0.025	34.90236
0.07	-0.016875	34.5515
0.07025	-0.0140625	34.19704
0.0705	-0.0165625	33.83888
0.07075	-0.01625	33.47689
0.071	-0.01	33.11097
0.07125	-0.001875	32.74101
0.0715	0.004375	32.36689
0.07175	0.0090625	31.98844
0.072	0.0134375	31.60547
0.07225	0.0184375	31.21782
0.0725	0.025625	30.82537
0.07275	0.03625	30.42803
0.073	0.0396875	30.02573
0.07325	0.0425	29.61833
0.0735	0.050625	29.20558
0.07375	0.0584375	28.78718
0.074	0.0603125	28.36283
0.07425	0.064375	27.93213
0.0745	0.0734375	27.49471
0.07475	0.079375	27.05023
0.075	0.0859375	26.59836
0.07525	0.0884375	26.13869
0.0755	0.1003125	25.67113
0.07575	0.103125	25.19613
0.076	0.0965625	24.71517
0.07625	0.0978125	24.23153
0.0765	0.099375	23.75048
0.07675	0.103125	23.28038
0.077	0.105625	22.83117
0.07725	0.1046875	22.40972
0.0775	0.105	22.01731
0.07775	0.1071875	21.64989
0.078	0.1059375	21.29863
0.07825	0.1103125	20.95661
0.0785	0.104375	20.6223
0.07875	0.0971875	20.29899
0.079	0.095	19.99321
0.07925	0.0896875	19.70869
0.0795	0.08625	19.44184
0.07975	0.081875	19.18507
0.08	0.075	18.93014
0.08025	0.0690625	18.67216
0.0805	0.0621875	18.41158
0.08075	0.06	18.15417
0.081	0.06125	17.90613
0.08125	0.055625	17.66881
0.0815	0.0465625	17.43903
0.08175	0.04	17.21205
0.082	0.0325	16.98458
0.08225	0.0271875	16.75502
0.0825	0.0265625	16.52273
0.08275	0.0215625	16.28744
0.083	0.0159375	16.04909
0.08325	0.010625	15.80779
0.0835	0.0065625	15.56394
0.08375	0.0075	15.31726
0.084	0.00375	15.0669
0.08425	-0.0040625	14.81232
0.0845	-0.0084375	14.55339
0.08475	-0.0059375	14.29037
0.085	-0.00875	14.02314
0.08525	-0.0065625	13.75084
0.0855	-0.0046875	13.47331
0.08575	-0.008125	13.19224
0.086	-0.01125	12.90989
0.08625	-0.006875	12.62684
0.0865	0.0021875	12.34286
0.08675	0.0040625	12.05723
0.087	0.001875	11.77004
0.08725	0.005625	11.48231
0.0875	0.006875	11.19523
0.08775	0.009375	10.91053
0.088	0.0146875	10.63136
0.08825	0.01875	10.3622
0.0885	0.0240625	10.10791
0.08875	0.030625	9.873132
0.089	0.0365625	9.661125
0.08925	0.0465625	9.472684
0.0895	0.05125	9.30455
0.08975	0.0528125	9.151676
0.09	0.061875	9.009894
0.09025	0.065625	8.876383
0.0905	0.0740625	8.749943
0.09075	0.076875	8.629885
0.091	0.0825	8.515743
0.09125	0.0909375	8.406983
0.0915	0.093125	8.303649
0.09175	0.1	8.206707
0.092	0.106875	8.117286
0.09225	0.11	8.036145
0.0925	0.1075	7.963628
0.09275	0.1109375	7.899572
0.093	0.115625	7.842882
0.09325	0.1178125	7.79201
0.0935	0.11875	7.745849
0.09375	0.120625	7.703772
0.094	0.12	7.665471
0.09425	0.1184375	7.630516
0.0945	0.1203125	7.598326
0.09475	0.1209375	7.568296
0.095	0.118125	7.540149
0.09525	0.1103125	7.513716
0.0955	0.1071875	7.488984
0.09575	0.105	7.465904
0.096	0.101875	7.444479
0.09625	0.0978125	7.424769
0.0965	0.0946875	7.406817
0.09675	0.089375	7.390709
0.097	0.0853125	7.376595
0.09725	0.0815625	7.364492
0.0975	0.0765625	7.354323
0.09775	0.0653125	7.345964
0.098	0.0578125	7.339268
0.09825	0.0590625	7.33394
0.0985	0.0515625	7.329646
0.09875	0.0403125	7.326285
0.099	0.0390625	7.323807
