Time	Amplitude	Unknown
-0.05	0.0659375	14.17032
-0.04975	0.0665625	14.17032
-0.0495	0.0653125	14.17032
-0.04925	0.0634375	14.17032
-0.049	0.0634375	14.17032
-0.04875	0.0625	14.17032
-0.0485	0.06125	14.17032
-0.04825	0.0634375	14.17032
-0.048	0.0609375	14.17032
-0.04775	0.0590625	14.17032
-0.0475	0.06	14.17032
-0.04725	0.0575	14.17032
-0.047	0.05625	14.17032
-0.04675	0.0546875	14.17032
-0.0465	0.0571875	14.17032
-0.04625	0.056875	14.17032
-0.046	0.055625	14.17032
-0.04575	0.0584375	14.17032
-0.0455	0.0621875	14.17032
-0.04525	0.058125	14.17032
-0.045	0.0553125	14.17032
-0.04475	0.045625	14.17032
-0.0445	0.039375	14.17032
-0.04425	0.033125	14.17032
-0.044	0.0328125	14.17032
-0.04375	0.0340625	14.17032
-0.0435	0.03625	14.17032
-0.04325	0.0465625	14.17032
-0.043	0.05625	14.17032
-0.04275	0.0571875	14.17032
-0.0425	0.0628125	14.17032
-0.04225	0.063125	14.17032
-0.042	0.055625	14.17032
-0.04175	0.0490625	14.17032
-0.0415	0.0446875	14.17032
-0.04125	0.044375	14.17032
-0.041	0.0446875	14.17032
-0.04075	0.0465625	14.17032
-0.0405	0.048125	14.17032
-0.04025	0.0496875	14.17032
-0.04	0.0534375	14.17032
-0.03975	0.05625	14.17032
-0.0395	0.0575	14.17032
-0.03925	0.065	14.17032
-0.039	0.069375	14.17032
-0.03875	0.074375	14.17032
-0.0385	0.0778125	14.17032
-0.03825	0.079375	14.17032
-0.038	0.083125	14.17032
-0.03775	0.08375	14.17032
-0.0375	0.085	14.17032
-0.03725	0.0846875	14.17032
-0.037	0.080625	14.17032
-0.03675	0.0746875	14.17032
-0.0365	0.0696875	14.17032
-0.03625	0.0603125	14.17032
-0.036	0.0546875	14.17032
-0.03575	0.0503125	14.17032
-0.0355	0.04875	14.17032
-0.03525	0.04375	14.17032
-0.035	0.038125	14.17032
-0.03475	0.036875	14.17032
-0.0345	0.0375	14.17032
-0.03425	0.03875	14.17032
-0.034	0.04125	14.17032
-0.03375	0.0453125	14.17032
-0.0335	0.0478125	14.17032
-0.03325	0.0509375	14.17032
-0.033	0.0521875	14.17032
-0.03275	0.0559375	14.17032
-0.0325	0.05125	14.17032
-0.03225	0.0434375	14.17032
-0.032	0.03125	14.17032
-0.03175	0.0215625	14.17032
-0.0315	0.0159375	14.17032
-0.03125	0.0134375	14.17032
-0.031	0.015	14.17032
-0.03075	0.0196875	14.17032
-0.0305	0.0265625	14.17032
-0.03025	0.0359375	14.17032
-0.03	0.0471875	14.17032
-0.02975	0.0528125	14.17032
-0.0295	0.0590625	14.17032
-0.02925	0.065	14.17032
-0.029	0.0746875	14.17032
-0.02875	0.08375	14.17032
-0.0285	0.0865625	14.17032
-0.02825	0.0903125	14.17032
-0.028	0.0909375	14.17032
-0.02775	0.08375	14.17032
-0.0275	0.07875	14.17032
-0.02725	0.06625	14.17032
-0.027	0.0575	14.17032
-0.02675	0.053125	14.17032
-0.0265	0.0484375	14.17032
-0.02625	0.045	14.17032
-0.026	0.0446875	14.17032
-0.02575	0.0453125	14.17032
-0.0255	0.0471875	14.17032
-0.02525	0.045625	14.17032
-0.025	0.0490625	14.17032
-0.02475	0.049375	14.17032
-0.0245	0.05	14.17032
-0.02425	0.051875	14.17032
-0.024	0.055625	14.17032
-0.02375	0.060625	14.17032
-0.0235	0.06875	14.17032
-0.02325	0.066875	14.17032
-0.023	0.065625	14.17032
-0.02275	0.0628125	14.17032
-0.0225	0.0603125	14.17032
-0.02225	0.0603125	14.17032
-0.022	0.0596875	14.17032
-0.02175	0.065625	14.17032
-0.0215	0.06625	14.17032
-0.02125	0.0678125	14.17032
-0.021	0.0721875	14.17032
-0.02075	0.0725	14.17032
-0.0205	0.0725	14.17032
-0.02025	0.0759375	14.17032
-0.02	0.075	14.17032
-0.01975	0.075	14.17032
-0.0195	0.0759375	14.17032
-0.01925	0.0796875	14.17032
-0.019	0.0809375	14.17032
-0.01875	0.0775	14.17032
-0.0185	0.0759375	14.17032
-0.01825	0.0753125	14.17032
-0.018	0.074375	14.17032
-0.01775	0.075	14.17032
-0.0175	0.0728125	14.17032
-0.01725	0.07375	14.17032
-0.017	0.0709375	14.17032
-0.01675	0.0703125	14.17032
-0.0165	0.0690625	14.17032
-0.01625	0.0678125	14.17032
-0.016	0.0671875	14.17032
-0.01575	0.065625	14.17032
-0.0155	0.0615625	14.17032
-0.01525	0.0609375	14.17032
-0.015	0.0596875	14.17032
-0.01475	0.0578125	14.17032
-0.0145	0.0584375	14.17032
-0.01425	0.0571875	14.17032
-0.014	0.055625	14.17032
-0.01375	0.0528125	14.17032
-0.0135	0.0490625	14.17032
-0.01325	0.044375	14.17032
-0.013	0.038125	14.17032
-0.01275	0.0359375	14.17032
-0.0125	0.0340625	14.17032
-0.01225	0.029375	14.17032
-0.012	0.0309375	14.17032
-0.01175	0.0325	14.17032
-0.0115	0.030625	14.17032
-0.01125	0.0290625	14.17032
-0.011	0.028125	14.17032
-0.01075	0.0259375	14.17032
-0.0105	0.02625	14.17032
-0.01025	0.025	14.17032
-0.01	0.0309375	14.17032
-0.00975	0.0346875	14.17032
-0.0095	0.0371875	14.17032
-0.00925	0.0396875	14.17032
-0.009	0.0403125	14.17032
-0.00875	0.04375	14.17032
-0.0085	0.046875	14.17032
-0.00825	0.048125	14.17032
-0.008	0.0525	14.17032
-0.00775	0.055625	14.17032
-0.0075	0.0596875	14.17032
-0.00725	0.0609375	14.17032
-0.007	0.060625	14.17032
-0.00675	0.0625	14.17032
-0.0065	0.060625	14.17032
-0.00625	0.0590625	14.17032
-0.006	0.0575	14.17032
-0.00575	0.0590625	14.17032
-0.0055	0.064375	14.17032
-0.00525	0.0684375	14.17032
-0.005	0.069375	14.17032
-0.00475	0.07	14.17032
-0.0045	0.0678125	14.17032
-0.00425	0.0665625	14.17032
-0.004	0.0609375	14.17032
-0.00375	0.06	14.17032
-0.0035	0.0628125	14.17032
-0.00325	0.0625	14.17032
-0.003	0.0684375	14.17032
-0.00275	0.0734375	14.17032
-0.0025	0.07625	14.17032
-0.00225	0.0815625	14.17032
-0.002	0.0871875	14.17032
-0.00175	0.0865625	14.17032
-0.0015	0.0903125	14.17032
-0.00125	0.0928125	14.17032
-0.001	0.103125	14.17032
-0.00075	0.1075	14.17032
-0.0005	0.1071875	14.17032
-0.00025	0.1084375	14.17032
0	0.0971875	14.17032
0.00025	0.1303125	14.22466
0.0005	0.7059375	14.2787
0.00075	-1.035938	14.3241
0.001	-0.4828125	14.35102
0.00125	-0.0321875	14.37401
0.0015	0.026875	14.39708
0.00175	0.028125	14.42021
0.002	0.0303125	14.44338
0.00225	0.03	14.46661
0.0025	0.0271875	14.48986
0.00275	0.038125	14.51316
0.003	0.0484375	14.53647
0.00325	0.048125	14.55977
0.0035	0.051875	14.58308
0.00375	0.055	14.60636
0.004	0.0496875	14.62962
0.00425	0.049375	14.65286
0.0045	0.0509375	14.67607
0.00475	0.055625	14.69925
0.005	0.0525	14.72241
0.00525	0.0484375	14.74554
0.0055	0.04625	14.76864
0.00575	0.0409375	14.79171
0.006	0.0365625	14.81475
0.00625	0.0390625	14.83777
0.0065	0.03875	14.86075
0.00675	0.0421875	14.8837
0.007	0.0478125	14.90662
0.00725	0.0475	14.92951
0.0075	0.0546875	14.95237
0.00775	0.0559375	14.9752
0.008	0.055	14.998
0.00825	0.055625	15.02078
0.0085	0.0540625	15.04353
0.00875	0.05625	15.06624
0.009	0.0546875	15.08892
0.00925	0.055	15.11157
0.0095	0.0571875	15.13418
0.00975	0.05375	15.15675
0.01	0.0528125	15.17931
0.01025	0.05375	15.20185
0.0105	0.050625	15.22437
0.01075	0.05125	15.24689
0.011	0.0528125	15.2694
0.01125	0.0540625	15.29192
0.0115	0.059375	15.31445
0.01175	0.0665625	15.33698
0.012	0.0734375	15.3595
0.01225	0.074375	15.38201
0.0125	0.074375	15.40451
0.01275	0.066875	15.427
0.013	0.053125	15.4495
0.01325	0.04375	15.47203
0.0135	0.0359375	15.49461
0.01375	0.029375	15.51723
0.014	0.0325	15.5399
0.01425	0.0425	15.5626
0.0145	0.06	15.58532
0.01475	0.075	15.60802
0.015	0.0790625	15.63067
0.01525	0.0771875	15.65325
0.0155	0.0746875	15.67575
0.01575	0.070625	15.69818
0.016	0.0709375	15.72056
0.01625	0.07125	15.74287
0.0165	0.0740625	15.76512
0.01675	0.071875	15.7873
0.017	0.064375	15.80941
0.01725	0.0584375	15.83148
0.0175	0.0525	15.85352
0.01775	0.0521875	15.87552
0.018	0.0584375	15.8975
0.01825	0.06625	15.91942
0.0185	0.078125	15.94127
0.01875	0.08375	15.96302
0.019	0.0878125	15.98465
0.01925	0.09125	16.00615
0.0195	0.0896875	16.0275
0.01975	0.0934375	16.04872
0.02	0.0934375	16.06979
0.02025	0.0915625	16.09071
0.0205	0.084375	16.11151
0.02075	0.075	16.1322
0.021	0.065625	16.15282
0.02125	0.05625	16.17338
0.0215	0.0478125	16.19392
0.02175	0.0496875	16.21446
0.022	0.0459375	16.235
0.02225	0.046875	16.25556
0.0225	0.0490625	16.27612
0.02275	0.0453125	16.29669
0.023	0.0471875	16.31725
0.02325	0.051875	16.3378
0.0235	0.0546875	16.35831
0.02375	0.060625	16.37878
0.024	0.06125	16.3992
0.02425	0.0621875	16.41957
0.0245	0.06	16.43987
0.02475	0.05625	16.46013
0.025	0.049375	16.48035
0.02525	0.041875	16.50054
0.0255	0.0425	16.52071
0.02575	0.050625	16.54087
0.026	0.064375	16.56101
0.02625	0.0915625	16.5811
0.0265	0.1159375	16.60109
0.02675	0.1175	16.62091
0.027	0.1009375	16.64057
0.02725	0.0803125	16.66011
0.0275	0.0665625	16.6796
0.02775	0.043125	16.69906
0.028	0.016875	16.71853
0.02825	-0.0234375	16.73804
0.0285	-0.07625	16.75757
0.02875	-0.1353125	16.77707
0.029	-0.211875	16.79635
0.02925	-0.3484375	16.81502
0.0295	-0.5015625	16.83196
0.02975	-0.5971875	16.84527
0.03	-0.664375	16.85342
0.03025	-0.735	16.85516
0.0305	-0.7634375	16.84906
0.03075	-0.675625	16.83447
0.031	-0.495	16.81324
0.03125	-0.2928125	16.78846
0.0315	-0.0946875	16.76247
0.03175	0.055625	16.73639
0.032	0.1315625	16.71031
0.03225	0.1696875	16.68401
0.0325	0.165	16.65732
0.03275	0.173125	16.63026
0.033	0.1765625	16.60278
0.03325	0.171875	16.57486
0.0335	0.1746875	16.54652
0.03375	0.1759375	16.51775
0.034	0.1665625	16.48852
0.03425	0.1475	16.45888
0.0345	0.125625	16.42892
0.03475	0.116875	16.39872
0.035	0.1075	16.36831
0.03525	0.1009375	16.33772
0.0355	0.105	16.30696
0.03575	0.1084375	16.27602
0.036	0.1309375	16.24489
0.03625	0.1678125	16.21347
0.0365	0.19875	16.18161
0.03675	0.2253125	16.14911
0.037	0.2396875	16.1158
0.03725	0.2478125	16.08156
0.0375	0.2359375	16.04632
0.03775	0.2084375	16.01017
0.038	0.183125	15.97328
0.03825	0.1640625	15.9358
0.0385	0.1525	15.89783
0.03875	0.151875	15.85943
0.039	0.1446875	15.8206
0.03925	0.1290625	15.78135
0.0395	0.1034375	15.74177
0.03975	0.0875	15.70193
0.04	0.0859375	15.66189
0.04025	0.091875	15.62165
0.0405	0.1065625	15.58119
0.04075	0.1146875	15.54046
0.041	0.1171875	15.49945
0.04125	0.135	15.45813
0.0415	0.1353125	15.41644
0.04175	0.1175	15.37438
0.042	0.0990625	15.33201
0.04225	0.08625	15.28941
0.0425	0.085	15.24661
0.04275	0.0846875	15.20364
0.043	0.0790625	15.16047
0.04325	0.080625	15.11715
0.0435	0.0953125	15.07365
0.04375	0.121875	15.02995
0.044	0.1634375	14.98594
0.04425	0.1928125	14.94142
