SN 		Beep Number 	Response Time
1 		 1	0.24525
2 		 2	0.237
3 		 3	0.31325
4 		 4	0.4155
5 		 5	0.47525
6 		 6	0.04225
7 		 7	0.1345
8 		 8	0.2985
9 		 9	0.465
10 		 10	0.60075
11 		 11	0.14825
12 		 12	0.288
13 		 13	0.4005
14 		 14	0.49125
15 		 15	0.5775
16 		 16	0.11325
17 		 17	0.19625
18 		 18	0.275
19 		 19	0.417
20 		 20	0.45575
21 		 21	0.62825
22 		 22	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 20009	1
2 		 24373	2
3 		 28737	3
4 		 33101	4
5 		 37465	5
6 		 41829	6
7 		 46193	7
8 		 50557	8
9 		 54917	9
10 		 59281	10
11 		 63645	11
12 		 68009	12
13 		 72373	13
14 		 76737	14
15 		 81101	15
16 		 85465	16
17 		 89829	17
18 		 94193	18
19 		 98557	19
20 		 102917	20
21 		 107281	21
22 		 112061	22
