Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 0.29375	0.3025	1.5125
2 		 0.26438	0.25625	2.3312
3 		 0.26562	0.26062	2.775
4 		 0.2675	0.275	2.6094
5 		 0.27563	0.285	3.7469
6 		 0.20188	0.21063	3.4719
7 		 0.18625	0.18625	3.2313
8 		 0.30312	0.3025	3.9781
9 		 0.22687	0.22375	3.725
10 		 0.24375	0.24312	4.8031
11 		 0.31437	0.29437	4.025
12 		 0.2675	0.2625	4.8313
13 		 0.4125	0.4075	5.5719
14 		 0.30625	0.3075	5.5
15 		 0.31937	0.33687	4.9
16 		 0.15563	0.16875	6.3156
17 		 0.24438	0.25875	5.4188
18 		 0.59563	0.46063	6.0469
19 		 0.18375	0.20625	5.5156
20 		 0.13125	0.23375	5.6875
21 		 0.33437	0.28125	6.4188
22 		 0.19875	0.37938	5.9469
23 		 0.2375	0.19	6.7594
24 		 0.24562	0.22437	6.6531
25 		 0.28563	0.35813	7.1344
26 		 0.24188	1.1894	7.3688
27 		 0.26375	1.1575	6.65
28 		 0.265	0.28687	6.8281
29 		 0.23938	0.31625	7.3813
30 		 0.33437	1.2456	7.0188
31 		 0.7425	2.1088	7.2281
32 		 0.14375	3.7669	7.2844
33 		 0.20062	3.0269	7.8688
34 		 0.30875	6.3531	6.7719
35 		 0.27375	5.3506	7.5563
36 		 0.71125	5.5956	7.9625
37 		 0.24438	6.5925	7.525
38 		 0.26062	7.1919	8.2063
39 		 0.28375	4.7862	7.2719
40 		 0.20438	4.8987	8.425
41 		 0.36438	3.6487	8.275
42 		 0.21937	2.1744	8.8
43 		 0.20625	3.2162	8.125
44 		 0.32	6.6944	8.5563
45 		 2.3094	7.985	9.4844
46 		 6.2094	7.2256	10.2812
47 		 8.1631	6.2275	11.6969
48 		 9.6813	4.5975	11.4594
49 		 10.7744	3.3619	12.4188
50 		 11.4044	1.9013	13.3719
51 		 13.6469	0.565	16.3219
52 		 13.6269	0.45937	17.1125
53 		 13.7325	0.37562	17.5281
54 		 13.775	0.60813	18.4312
M-Reflex_Max 		13.775 		 18.4312
H-Reflex_Max 			7.985	 9.4844
