Interval=	0.0001 s
ExcelDateTime=	4.4825383613228492e+004	2022-09-21 9:12:24.182942
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Grip Force
Range=	10.000 mV	42.46 V	1000.0 mV
UnitName=	*	*	N
TopValue=	*	*	800.0
BottomValue=	*	*	-800.0
0.0162	0.070625	7.899746	1.275
0.0163	0.075625	7.899746	1.3
0.0164	0.075625	7.899746	1.325
0.0165	0.0803125	7.899746	1.35
0.0166	0.0803125	7.899746	1.375
0.0167	0.0803125	7.899746	1.4
0.0168	0.08375	7.899746	1.425
0.0169	0.08375	7.899746	1.45
0.017	0.0865625	7.899746	1.475
0.0171	0.0865625	7.899746	1.5
0.0172	0.0865625	7.899746	1.525
0.0173	0.0896875	7.899746	1.55
0.0174	0.0896875	7.899746	1.575
0.0175	0.0928125	7.899746	1.6
0.0176	0.0928125	7.899746	1.625
0.0177	0.0928125	7.899746	1.65
0.0178	0.0928125	7.899746	1.675
0.0179	0.0928125	7.899746	1.7
0.018	0.0984375	7.899746	1.725
0.0181	0.0984375	7.899746	1.75
0.0182	0.0984375	7.899746	1.775
0.0183	0.10375	7.899746	1.8
0.0184	0.10375	7.899746	1.825
0.0185	0.1084375	7.899746	1.875
0.0186	0.1084375	7.899746	1.9
0.0187	0.1084375	7.899746	1.925
0.0188	0.11125	7.899746	1.95
0.0189	0.11125	7.899746	1.975
0.019	0.1125	7.899746	2
0.0191	0.1125	7.899746	2.025
0.0192	0.1125	7.899746	2.05
0.0193	0.11375	7.899746	2.075
0.0194	0.11375	7.899746	2.1
0.0195	0.1115625	7.899746	2.15
0.0196	0.1115625	7.899746	2.175
0.0197	0.1115625	7.899746	2.2
0.0198	0.1096875	7.899746	2.225
0.0199	0.1096875	7.899746	2.25
0.02	0.1103125	7.899746	2.275
0.0201	0.1103125	7.899746	2.3
0.0202	0.1103125	7.899746	2.325
0.0203	0.108125	7.899746	2.35
0.0204	0.108125	7.899746	2.4
0.0205	0.1075	7.899746	2.425
0.0206	0.1075	7.899746	2.45
0.0207	0.1075	7.899746	2.475
0.0208	0.1109375	7.899746	2.5
0.0209	0.1109375	7.899746	2.525
0.021	0.11125	7.899746	2.55
0.0211	0.11125	7.899746	2.6
0.0212	0.11125	7.899746	2.625
0.0213	0.1121875	7.899746	2.65
0.0214	0.1121875	7.899746	2.675
0.0215	0.1109375	7.899746	2.7
0.0216	0.1109375	7.899746	2.725
0.0217	0.1109375	7.899746	2.75
0.0218	0.1075	7.899746	2.775
0.0219	0.1075	7.899746	2.825
0.022	0.11125	7.899746	2.85
0.0221	0.11125	7.899746	2.875
0.0222	0.11125	7.899746	2.9
0.0223	0.1065625	7.899746	2.925
0.0224	0.1065625	7.899746	2.95
0.0225	0.105625	7.899746	2.975
0.0226	0.105625	7.899746	3
0.0227	0.105625	7.899746	3.025
0.0228	0.105	7.899746	3.075
0.0229	0.105	7.899746	3.1
0.023	0.1034375	7.899746	3.125
