SN 		Beep Number 	Response Time
1 		 1	0.317
2 		 2	0.17025
3 		 3	0.18475
4 		 4	0.069
5 		 5	0.1815
6 		 6	0.2305
7 		 7	0.155
8 		 8	0.16225
9 		 9	0.18725
10 		 10	0.2135
11 		 11	0.19
12 		 12	0.25075
13 		 13	0.18575
14 		 14	0.183
15 		 15	0.22975
16 		 16	0.1075
17 		 17	0.276
18 		 18	0.17225
19 		 19	0.14475
20 		 20	0.16875
21 		 21	0.14125
22 		 22	0.11675
23 		 23	0.2125
24 		 24	0.22875
25 		 25	0.25025
26 		 26	0.2395
27 		 27	0.25775
28 		 28	0.261
29 		 29	0.17575
30 		 30	0.16225
31 		 31	0.22025
32 		 32	0.222
33 		 33	0.16875
34 		 34	0.08625
35 		 35	0.199
36 		 36	0.226
37 		 37	0.256
38 		 38	0.264
39 		 39	0.27875
40 		 40	0.13575
41 		 41	0.246
42 		 42	0.18525
43 		 43	0.27675
44 		 44	0.21775
45 		 45	0.14425
46 		 46	0.15625
47 		 47	0.1645
48 		 48	0.22075
49 		 49	0.233
50 		 50	0.2205
51 		 51	0.28875
52 		 52	0.17925
53 		 53	0.21775
54 		 54	0.1635
55 		 55	0.14225
56 		 56	0.14825
57 		 57	0.21225
58 		 58	0.171
59 		 59	0.232
60 		 60	0.18525
61 		 61	0.15375
62 		 62	0.272
63 		 63	0.29975
64 		 64	0.25925
65 		 65	0.25825
66 		 66	0.17425
67 		 67	0.14425
68 		 68	0.2285
69 		 69	0.27775
70 		 70	0.17875
71 		 71	0.25125
72 		 72	0.3445
73 		 73	0.286
74 		 74	0.27875
75 		 75	0.28975
76 		 76	0.301
77 		 77	0.3195
78 		 78	0.2435
79 		 79	0.23775
80 		 80	0.22125
81 		 81	0.25175
82 		 82	0.29625
83 		 83	0.155
84 		 84	0.24675
85 		 85	0.2825
86 		 86	0.20475
87 		 87	0.26225
88 		 88	0.21325
89 		 89	0.202
90 		 90	0.258
91 		 91	0.255
92 		 92	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 35029	1
2 		 39393	2
3 		 43753	3
4 		 48117	4
5 		 52481	5
6 		 56845	6
7 		 61209	7
8 		 65573	8
9 		 69937	9
10 		 74301	10
11 		 78665	11
12 		 83029	12
13 		 87393	13
14 		 91753	14
15 		 96117	15
16 		 100481	16
17 		 104845	17
18 		 109209	18
19 		 113573	19
20 		 117937	20
21 		 122301	21
22 		 126665	22
23 		 131029	23
24 		 135393	24
25 		 139753	25
26 		 144117	26
27 		 148481	27
28 		 152845	28
29 		 157209	29
30 		 161573	30
31 		 165937	31
32 		 170301	32
33 		 174665	33
34 		 179029	34
35 		 183393	35
36 		 187753	36
37 		 192117	37
38 		 196481	38
39 		 200845	39
40 		 205209	40
41 		 209573	41
42 		 213937	42
43 		 218301	43
44 		 222665	44
45 		 227029	45
46 		 231393	46
47 		 235757	47
48 		 240117	48
49 		 244481	49
50 		 248845	50
51 		 253209	51
52 		 257573	52
53 		 261937	53
54 		 266301	54
55 		 270665	55
56 		 275029	56
57 		 279393	57
58 		 283753	58
59 		 288117	59
60 		 292481	60
61 		 296845	61
62 		 301209	62
63 		 305573	63
64 		 309937	64
65 		 314301	65
66 		 318665	66
67 		 323029	67
68 		 327393	68
69 		 331753	69
70 		 336117	70
71 		 340481	71
72 		 344845	72
73 		 349209	73
74 		 353573	74
75 		 357937	75
76 		 362301	76
77 		 366665	77
78 		 371029	78
79 		 375393	79
80 		 379753	80
81 		 384117	81
82 		 388481	82
83 		 392845	83
84 		 397209	84
85 		 401573	85
86 		 405937	86
87 		 410301	87
88 		 414665	88
89 		 419029	89
90 		 423393	90
91 		 427753	91
92 		 433063	92
