Interval=	0.00025 s
ExcelDateTime=	4.4903493396582991e+004	2022-12-08 11:50:29.46477
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Force
Range=	20.000 mV	42.46 V	10.000 V
0	-0.35875	38.45013	0.1415625
0.00025	-0.359375	38.45013	0.1415625
0.0005	-0.358125	38.45013	0.1415625
0.00075	-0.3625	38.45013	0.1415625
0.001	-0.365625	38.45013	0.2225
0.00125	-0.37	38.45013	0.2225
0.0015	-0.37625	38.45013	0.2225
0.00175	-0.37125	38.45013	0.2225
0.002	-0.3725	38.45013	0.2225
0.00225	-0.37125	38.45013	0.2225
0.0025	-0.37375	38.45013	0.2225
0.00275	-0.37125	38.45013	0.2225
0.003	-0.371875	38.45013	0.2221875
0.00325	-0.376875	38.45013	0.2221875
0.0035	-0.381875	38.45013	0.2221875
0.00375	-0.378125	38.45013	0.2221875
0.004	-0.37875	38.45013	0.220625
0.00425	-0.378125	38.45013	0.220625
0.0045	-0.3775	38.45013	0.220625
0.00475	-0.370625	38.45013	0.220625
0.005	-0.376875	38.45013	0.219375
0.00525	-0.385625	38.45013	0.219375
0.0055	-0.3975	38.45013	0.219375
0.00575	-0.40875	38.45013	0.219375
0.006	-0.410625	38.45013	0.2184375
0.00625	-0.401875	38.45013	0.2184375
0.0065	-0.391875	38.45013	0.2184375
0.00675	-0.386875	38.45013	0.2184375
0.007	-0.39	38.45013	0.22
0.00725	-0.39625	38.45013	0.22
0.0075	-0.400625	38.45013	0.22
0.00775	-0.404375	38.45013	0.22
0.008	-0.410625	38.45013	0.221875
0.00825	-0.4175	38.45013	0.221875
0.0085	-0.41625	38.45013	0.221875
0.00875	-0.41125	38.45013	0.221875
0.009	-0.42125	38.45013	0.2228125
0.00925	-0.41625	38.45013	0.2228125
0.0095	-0.409375	38.45013	0.2228125
0.00975	-0.41125	38.45013	0.2228125
0.01	-0.40875	38.45013	0.2225
0.01025	-0.4175	38.45013	0.2225
0.0105	-0.41875	38.45013	0.2225
0.01075	-0.41125	38.45013	0.2225
0.011	-0.411875	38.45013	0.2221875
0.01125	-0.401875	38.45013	0.2221875
0.0115	-0.39625	38.45013	0.2221875
0.01175	-0.39375	38.45013	0.2221875
0.012	-0.384375	38.45013	0.22375
